,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
*,井上　温大,25,8,5,0,2,3,0,0,0,.615,413,101,,87,5,27,1,3,99,3,0,33,31,2.76,読売ジャイアンツ,投手成績
*,今村　信貴,7,0,0,0,0,0,0,0,0,.000,30,8,,6,0,1,0,1,7,0,0,2,2,2.25,読売ジャイアンツ,投手成績
*,大江　竜聖,16,0,0,0,5,5,0,0,0,.000,56,13,.2,9,1,8,0,0,13,0,0,4,4,2.63,読売ジャイアンツ,投手成績
*,グリフィン,20,6,4,0,0,0,0,0,0,.600,468,116,.2,99,9,23,0,4,126,0,1,40,39,3.01,読売ジャイアンツ,投手成績
*,高梨　雄平,51,4,3,0,25,29,0,0,0,.571,145,35,.1,26,1,15,2,0,29,1,0,9,8,2.04,読売ジャイアンツ,投手成績
*,中川　皓太,15,0,2,0,7,7,0,0,0,.000,60,12,.1,19,3,3,0,0,7,0,0,12,12,8.76,読売ジャイアンツ,投手成績
*,バルドナード,58,2,3,9,26,28,0,0,0,.400,220,51,.2,40,1,28,1,0,63,2,0,15,14,2.44,読売ジャイアンツ,投手成績
*,又木　鉄平,3,0,1,0,0,0,0,0,0,.000,51,10,.1,11,2,10,0,0,7,0,0,7,7,6.10,読売ジャイアンツ,投手成績
*,メンデス,2,0,2,0,0,0,0,0,0,.000,27,4,.1,6,0,7,0,0,4,0,0,8,6,12.46,読売ジャイアンツ,投手成績
*,横川　凱,12,3,1,0,0,2,0,0,0,.750,111,28,.2,23,0,10,1,0,9,0,0,4,3,0.94,読売ジャイアンツ,投手成績
読売ジャイアンツ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,読売ジャイアンツ,投手成績
*,伊藤　将司,18,4,5,0,0,0,1,0,1,.444,323,74,,90,5,16,0,2,33,1,0,46,38,4.62,阪神タイガース,投手成績
*,岩崎　優,60,4,4,23,17,21,0,0,0,.500,231,57,.1,48,3,15,1,0,46,1,0,14,14,2.20,阪神タイガース,投手成績
*,岩貞　祐太,2,0,1,0,0,0,0,0,0,.000,9,1,.2,1,0,2,1,1,2,0,0,2,1,5.40,阪神タイガース,投手成績
*,大竹　耕太郎,24,11,7,0,0,0,0,0,0,.611,587,144,.2,134,8,33,1,1,91,1,0,47,45,2.80,阪神タイガース,投手成績
*,及川　雅貴,9,1,3,0,0,0,1,0,0,.250,121,29,.1,25,2,10,1,0,23,2,0,11,9,2.76,阪神タイガース,投手成績
*,川原　陸,1,0,0,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,2,0,0,0,0,0.00,阪神タイガース,投手成績
*,桐敷　拓馬,70,3,1,0,40,43,0,0,0,.750,263,65,.1,48,0,18,5,4,60,1,0,14,13,1.79,阪神タイガース,投手成績
*,島本　浩也,33,2,1,0,6,8,0,0,0,.667,113,25,.2,27,1,10,0,1,10,1,0,9,8,2.81,阪神タイガース,投手成績
*,髙橋　遥人,5,4,1,0,0,0,0,0,0,.800,114,29,.2,20,0,4,0,1,28,1,0,5,5,1.52,阪神タイガース,投手成績
*,富田　蓮,33,0,1,0,4,4,0,0,0,.000,142,35,.2,26,1,5,1,2,22,1,1,7,3,0.76,阪神タイガース,投手成績
*,門別　啓人,5,0,2,0,0,0,0,0,0,.000,54,12,,15,1,4,0,0,8,2,0,8,6,4.50,阪神タイガース,投手成績
阪神タイガース||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,阪神タイガース,投手成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,阪神タイガース,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,阪神タイガース,投手成績
*,東　克樹,26,13,4,0,0,0,2,2,1,.765,731,183,,166,11,27,2,6,140,0,0,45,44,2.16,横浜DeNAベイスターズ,投手成績
*,石川　達也,15,0,0,0,2,2,0,0,0,.000,58,14,,15,1,3,0,1,8,0,0,3,3,1.93,横浜DeNAベイスターズ,投手成績
*,石田　健大,6,2,3,0,0,0,0,0,0,.400,126,32,,28,5,6,0,0,24,0,0,13,12,3.38,横浜DeNAベイスターズ,投手成績
*,ケイ,24,6,9,0,0,0,1,0,0,.400,590,136,.2,130,6,53,5,7,119,4,1,61,52,3.42,横浜DeNAベイスターズ,投手成績
*,坂本　裕哉,48,1,1,0,13,14,0,0,0,.500,190,45,,43,3,12,2,1,39,3,0,16,11,2.20,横浜DeNAベイスターズ,投手成績
*,ディアス,7,0,0,0,4,4,0,0,0,.000,19,4,.2,2,0,3,0,0,1,3,0,0,0,0.00,横浜DeNAベイスターズ,投手成績
*,濵口　遥大,11,2,4,0,0,0,1,0,0,.333,229,52,.2,47,3,29,0,1,45,0,0,26,19,3.25,横浜DeNAベイスターズ,投手成績
*,松本　隆之介,1,0,0,0,0,0,0,0,0,.000,22,5,,6,0,3,0,0,4,0,0,2,2,3.60,横浜DeNAベイスターズ,投手成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
日本シリーズ,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
ファーム選手権,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,投手成績
*,黒原　拓未,53,4,3,0,3,7,0,0,0,.571,244,59,.2,40,2,20,0,3,67,0,0,15,14,2.11,広島東洋カープ,投手成績
*,髙　太一,1,0,0,0,1,1,0,0,0,.000,8,2,,1,0,1,0,0,2,0,0,0,0,0.00,広島東洋カープ,投手成績
*,高橋　昂也,1,0,0,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,広島東洋カープ,投手成績
*,滝田　一希,1,1,0,0,0,1,0,0,0,1.000,18,4,,2,0,4,0,0,5,0,0,1,1,2.25,広島東洋カープ,投手成績
*,玉村　昇悟,15,4,5,0,0,0,2,0,1,.444,311,76,,77,3,11,0,2,58,1,0,32,25,2.96,広島東洋カープ,投手成績
*,床田　寛樹,26,11,9,0,0,0,0,0,0,.550,693,167,,170,9,48,4,4,95,0,0,52,46,2.48,広島東洋カープ,投手成績
*,ハーン,35,0,1,2,17,17,0,0,0,.000,129,35,,18,1,7,0,0,26,0,0,5,5,1.29,広島東洋カープ,投手成績
*,長谷部　銀次,5,0,0,0,1,1,0,0,0,.000,25,7,,1,0,5,0,0,4,0,0,0,0,0.00,広島東洋カープ,投手成績
*,塹江　敦哉,53,2,0,0,16,18,0,0,0,1.000,174,40,,39,0,16,0,4,38,1,0,13,7,1.58,広島東洋カープ,投手成績
*,森　翔平,5,1,3,0,0,0,1,0,0,.250,109,26,.2,25,1,4,1,1,17,0,0,10,8,2.70,広島東洋カープ,投手成績
*,森浦　大輔,53,2,0,0,17,19,0,0,0,1.000,203,46,.2,40,1,27,6,1,43,0,0,13,13,2.51,広島東洋カープ,投手成績
広島東洋カープ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,広島東洋カープ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,広島東洋カープ,投手成績
*,石川　雅規,9,1,4,0,0,0,1,1,1,.200,161,37,.1,45,4,6,0,1,10,1,0,20,17,4.10,東京ヤクルトスワローズ,投手成績
*,石原　勇輝,1,0,0,0,0,0,0,0,0,.000,5,1,,1,0,0,0,0,0,0,0,1,1,9.00,東京ヤクルトスワローズ,投手成績
*,嘉弥真　新也,9,0,0,0,1,1,0,0,0,.000,24,4,.1,12,0,0,0,0,4,0,0,7,7,14.54,東京ヤクルトスワローズ,投手成績
*,高橋　奎二,21,8,9,0,1,1,0,0,0,.471,504,115,.2,116,12,38,1,8,106,1,0,55,46,3.58,東京ヤクルトスワローズ,投手成績
*,田口　麗斗,41,1,4,7,13,14,0,0,0,.200,139,33,.2,34,2,9,0,1,22,2,0,14,11,2.94,東京ヤクルトスワローズ,投手成績
*,長谷川　宙輝,19,1,0,0,2,3,0,0,0,1.000,92,21,,21,4,10,1,1,21,2,0,11,11,4.71,東京ヤクルトスワローズ,投手成績
*,山野　太一,14,3,4,0,0,0,0,0,0,.429,217,50,.1,59,8,12,3,2,32,0,0,38,34,6.08,東京ヤクルトスワローズ,投手成績
*,山本　大貴,44,3,0,1,12,15,0,0,0,1.000,126,31,.2,18,0,15,3,0,31,2,0,6,5,1.42,東京ヤクルトスワローズ,投手成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,投手成績
*,大野　雄大,9,2,6,0,0,0,0,0,0,.250,192,44,.1,50,5,12,0,2,27,1,0,27,24,4.87,中日ドラゴンズ,投手成績
*,小笠原　慎之介,24,5,11,0,0,0,0,0,0,.313,602,144,.1,151,9,22,2,4,82,2,0,59,50,3.12,中日ドラゴンズ,投手成績
*,齋藤　綱記,56,4,3,0,19,23,0,0,0,.571,200,47,.1,45,1,18,4,1,44,2,0,11,11,2.09,中日ドラゴンズ,投手成績
*,橋本　侑樹,47,3,1,0,5,8,0,0,0,.750,225,52,,46,0,22,0,2,54,0,0,19,10,1.73,中日ドラゴンズ,投手成績
*,福　敬登,13,0,0,0,0,0,0,0,0,.000,46,11,.2,4,0,8,0,0,7,0,0,2,2,1.54,中日ドラゴンズ,投手成績
*,松葉　貴大,17,5,6,0,0,0,2,0,0,.455,381,93,.1,85,8,24,0,2,50,2,0,33,32,3.09,中日ドラゴンズ,投手成績
中日ドラゴンズ||,公式戦(セ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,中日ドラゴンズ,投手成績
*,大関　友久,20,8,4,0,0,0,0,0,0,.667,481,122,.1,84,10,29,0,10,77,0,0,34,34,2.50,福岡ソフトバンクホークス,投手成績
*,田浦　文丸,4,0,0,0,0,0,0,0,0,.000,17,3,.2,4,0,2,0,0,1,0,0,1,1,2.45,福岡ソフトバンクホークス,投手成績
*,長谷川　威展,32,4,0,0,6,10,0,0,0,1.000,108,25,.1,20,1,10,3,0,21,0,0,7,7,2.49,福岡ソフトバンクホークス,投手成績
*,ヘルナンデス,48,3,3,3,21,24,0,0,0,.500,194,48,,34,2,14,1,6,72,1,0,13,12,2.25,福岡ソフトバンクホークス,投手成績
*,前田　純,1,1,0,0,0,0,0,0,0,1.000,20,6,,3,0,0,0,0,5,0,0,0,0,0.00,福岡ソフトバンクホークス,投手成績
*,前田　悠伍,1,0,0,0,0,0,0,0,0,.000,19,3,,8,1,1,0,1,0,0,0,6,6,18.00,福岡ソフトバンクホークス,投手成績
*,松本　晴,5,2,1,0,0,0,0,0,0,.667,63,16,,12,1,4,0,1,17,0,0,5,5,2.81,福岡ソフトバンクホークス,投手成績
*,三浦　瑞樹,5,0,0,0,0,0,0,0,0,.000,22,5,,4,0,3,0,2,4,0,0,0,0,0.00,福岡ソフトバンクホークス,投手成績
*,モイネロ,25,11,5,0,0,0,2,0,0,.688,636,163,,107,11,47,1,5,155,3,0,39,34,1.88,福岡ソフトバンクホークス,投手成績
*,和田　毅,8,2,2,0,3,3,0,0,0,.500,108,26,.1,27,2,4,0,2,18,0,0,12,11,3.76,福岡ソフトバンクホークス,投手成績
福岡ソフトバンクホークス||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
日本シリーズ,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
ファーム選手権,：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,投手成績
*,上原　健太,7,0,5,0,0,0,0,0,0,.000,126,25,.1,40,2,13,1,1,13,0,0,26,26,9.24,北海道日本ハムファイターズ,投手成績
*,加藤　貴之,27,10,9,0,0,0,3,2,2,.526,672,166,.2,174,15,17,0,1,103,2,0,55,50,2.70,北海道日本ハムファイターズ,投手成績
*,河野　竜生,52,1,4,0,33,34,0,0,0,.200,168,42,.1,33,5,11,4,1,33,4,0,10,10,2.13,北海道日本ハムファイターズ,投手成績
*,北浦　竜次,12,2,1,0,4,6,0,0,0,.667,52,11,.1,15,2,3,1,0,6,0,0,8,4,3.18,北海道日本ハムファイターズ,投手成績
*,根本　悠楓,2,0,0,0,0,0,0,0,0,.000,29,4,.1,7,0,7,0,1,4,1,0,8,7,14.54,北海道日本ハムファイターズ,投手成績
*,福田　俊,2,0,0,0,0,0,0,0,0,.000,9,2,,1,0,2,1,0,1,0,0,0,0,0.00,北海道日本ハムファイターズ,投手成績
*,細野　晴希,2,0,0,0,0,0,0,0,0,.000,39,9,.1,8,1,4,0,0,9,1,0,4,4,3.86,北海道日本ハムファイターズ,投手成績
*,堀　瑞輝,10,0,0,0,0,0,0,0,0,.000,42,8,.1,12,2,4,0,1,14,0,0,9,8,8.64,北海道日本ハムファイターズ,投手成績
*,松浦　慶斗,5,0,0,0,1,1,0,0,0,.000,22,4,,4,0,6,0,0,5,0,0,3,1,2.25,北海道日本ハムファイターズ,投手成績
*,宮西　尚生,30,0,1,0,19,19,0,0,0,.000,105,25,.2,18,2,10,2,0,24,2,0,10,6,2.10,北海道日本ハムファイターズ,投手成績
*,矢澤　宏太,17,1,2,0,3,4,0,0,0,.333,62,13,.1,11,0,13,1,0,12,1,0,7,6,4.05,北海道日本ハムファイターズ,投手成績
*,山﨑　福也,24,10,6,0,0,0,2,0,1,.625,600,147,.2,142,17,28,1,4,74,3,0,57,52,3.17,北海道日本ハムファイターズ,投手成績
北海道日本ハムファイターズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
CS(ファイナルS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,投手成績
*,小島　和哉,25,12,10,0,0,0,5,1,1,.545,671,163,.1,157,15,36,0,7,132,5,0,68,65,3.58,千葉ロッテマリーンズ,投手成績
*,カイケル,8,2,4,0,0,0,0,0,0,.333,170,40,,37,3,15,0,2,29,0,0,18,16,3.60,千葉ロッテマリーンズ,投手成績
*,坂本　光士郎,37,1,2,0,11,12,0,0,0,.333,146,33,,34,3,12,2,5,34,2,0,22,21,5.73,千葉ロッテマリーンズ,投手成績
*,鈴木　昭汰,51,2,2,5,27,29,0,0,0,.500,194,49,.1,32,2,18,2,1,42,1,0,7,4,0.73,千葉ロッテマリーンズ,投手成績
*,高野　脩汰,6,1,1,0,0,1,0,0,0,.500,64,14,.2,16,1,4,0,0,16,0,0,6,6,3.68,千葉ロッテマリーンズ,投手成績
*,中村　稔弥,17,1,0,0,0,1,0,0,0,1.000,139,34,,30,1,9,0,1,17,0,1,14,14,3.71,千葉ロッテマリーンズ,投手成績
*,メルセデス,21,4,8,0,0,0,0,0,0,.333,502,126,.1,97,12,34,0,2,91,0,0,45,38,2.71,千葉ロッテマリーンズ,投手成績
千葉ロッテマリーンズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,投手成績
CS(ファーストS),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,投手成績
*,古謝　樹,15,5,8,0,0,0,0,0,0,.385,347,83,.1,70,10,31,1,7,58,0,0,42,40,4.32,東北楽天ゴールデンイーグルス,投手成績
*,櫻井　周斗,8,0,0,0,0,0,0,0,0,.000,48,10,.2,11,0,8,1,0,9,1,0,10,10,8.44,東北楽天ゴールデンイーグルス,投手成績
*,鈴木　翔天,49,2,0,1,24,26,0,0,0,1.000,186,48,.2,24,0,21,0,1,48,3,1,9,9,1.66,東北楽天ゴールデンイーグルス,投手成績
*,ターリー,17,0,1,1,2,2,0,0,0,.000,72,15,.1,15,2,12,0,1,13,0,0,5,5,2.93,東北楽天ゴールデンイーグルス,投手成績
*,早川　隆久,25,11,6,0,0,0,2,1,0,.647,690,170,.1,156,10,35,1,3,160,4,0,54,48,2.54,東北楽天ゴールデンイーグルス,投手成績
*,藤井　聖,22,11,5,0,0,0,0,0,0,.688,529,126,,138,8,29,0,7,74,3,0,45,41,2.93,東北楽天ゴールデンイーグルス,投手成績
*,弓削　隼人,34,2,0,0,1,3,0,0,0,1.000,150,33,.1,42,1,9,1,1,28,0,0,22,22,5.94,東北楽天ゴールデンイーグルス,投手成績
東北楽天ゴールデンイーグルス||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,投手成績
*,佐藤　一磨,5,1,1,0,1,1,0,0,0,.500,53,11,.2,13,1,4,0,2,5,1,0,11,7,5.40,オリックス・バファローズ,投手成績
*,曽谷　龍平,20,7,11,0,0,0,0,0,0,.389,490,119,,112,4,27,0,1,117,1,0,37,31,2.34,オリックス・バファローズ,投手成績
*,田嶋　大樹,21,6,8,0,0,0,0,0,0,.429,501,117,.1,121,10,34,0,2,87,4,0,51,48,3.68,オリックス・バファローズ,投手成績
*,富山　凌雅,16,0,0,0,3,3,0,0,0,.000,52,11,,10,0,5,1,3,8,1,0,6,4,3.27,オリックス・バファローズ,投手成績
*,宮城　大弥,20,7,9,0,0,0,3,0,2,.438,560,141,.2,115,7,22,0,3,139,2,0,31,30,1.91,オリックス・バファローズ,投手成績
*,山田　修義,50,3,2,0,16,19,0,0,0,.600,177,43,.1,30,1,16,2,2,44,0,0,13,10,2.08,オリックス・バファローズ,投手成績
オリックス・バファローズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,投手成績
*,佐藤　隼輔,45,2,1,0,17,19,0,0,0,.667,149,37,.1,20,1,17,1,2,31,1,0,8,7,1.69,埼玉西武ライオンズ,投手成績
*,菅井　信也,8,1,2,0,1,1,0,0,0,.333,108,24,,26,4,10,0,0,22,0,0,14,14,5.25,埼玉西武ライオンズ,投手成績
*,杉山　遙希,1,0,1,0,0,0,0,0,0,.000,17,3,,5,0,0,0,1,2,1,0,6,0,0.00,埼玉西武ライオンズ,投手成績
*,隅田　知一郎,26,9,10,0,0,0,2,1,1,.474,719,179,.1,161,11,35,1,3,154,5,0,56,55,2.76,埼玉西武ライオンズ,投手成績
*,武内　夏暉,21,10,6,0,0,0,1,1,0,.625,568,145,.1,120,6,22,0,3,107,2,2,39,35,2.17,埼玉西武ライオンズ,投手成績
*,羽田　慎之介,9,1,3,0,2,3,0,0,0,.250,73,16,.1,14,0,10,0,2,11,1,0,8,5,2.76,埼玉西武ライオンズ,投手成績
*,浜屋　将太,1,0,0,0,0,0,0,0,0,.000,15,2,.1,3,0,3,0,1,1,0,0,4,3,11.57,埼玉西武ライオンズ,投手成績
*,ヤン,37,0,0,0,2,2,0,0,0,.000,142,30,.2,32,3,19,0,2,35,5,0,21,19,5.58,埼玉西武ライオンズ,投手成績
埼玉西武ライオンズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,投手成績
