,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,大江　竜聖,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,大関　友久,15,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,大津　亮介,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,大野　稼頭央,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,尾形　崇斗,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,緒方　理貢,71,63,59,18,12,1,1,0,15,5,6,3,2,0,2,0,0,9,2,.203,.254,.230,福岡ソフトバンクホークス,打撃成績
*,川瀬　晃,60,122,103,13,29,6,1,1,40,15,1,0,9,0,10,0,0,15,4,.282,.388,.345,福岡ソフトバンクホークス,打撃成績
*,川村　友斗,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,木村　光,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,栗原　陵矢,53,216,182,19,39,4,0,5,58,19,1,1,1,2,29,1,2,37,3,.214,.319,.326,福岡ソフトバンクホークス,打撃成績
*,近藤　健介,36,144,125,11,38,5,0,3,52,19,0,0,0,2,17,0,0,23,3,.304,.416,.382,福岡ソフトバンクホークス,打撃成績
*,笹川　吉康,14,36,35,5,5,0,0,0,5,2,1,0,0,1,0,0,0,9,1,.143,.143,.139,福岡ソフトバンクホークス,打撃成績
*,周東　佑京,64,286,257,34,79,11,2,2,100,27,26,3,1,0,25,2,3,46,5,.307,.389,.375,福岡ソフトバンクホークス,打撃成績
*,庄子　雄大,12,7,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,.143,.143,.143,福岡ソフトバンクホークス,打撃成績
*,谷川原　健太,16,25,20,6,4,1,0,1,8,1,0,0,0,0,4,0,1,7,0,.200,.400,.360,福岡ソフトバンクホークス,打撃成績
*,中村　晃,76,312,272,24,66,5,2,1,78,22,1,2,4,3,32,1,1,30,5,.243,.287,.321,福岡ソフトバンクホークス,打撃成績
*,藤井　皓哉,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,ヘルナンデス,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,前田　純,10,2,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.500,.500,.500,福岡ソフトバンクホークス,打撃成績
*,前田　悠伍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,牧原　大成,72,229,213,23,61,10,3,0,77,21,7,1,8,2,4,0,2,31,1,.286,.362,.303,福岡ソフトバンクホークス,打撃成績
*,松本　晴,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,松本　裕樹,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,福岡ソフトバンクホークス,打撃成績
*,モイネロ,16,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.200,.200,.200,福岡ソフトバンクホークス,打撃成績
*,柳田　悠岐,11,38,35,5,10,1,0,2,17,6,0,0,0,0,3,1,0,7,1,.286,.486,.342,福岡ソフトバンクホークス,打撃成績
*,柳町　達,78,306,259,27,76,10,1,3,97,27,2,2,3,0,40,0,4,67,6,.293,.375,.396,福岡ソフトバンクホークス,打撃成績
*,山本　恵大,15,44,37,6,9,1,0,1,13,4,0,0,0,0,5,0,2,8,3,.243,.351,.364,福岡ソフトバンクホークス,打撃成績
*,渡邉　陸,24,51,45,4,10,2,0,0,12,5,1,0,0,0,5,1,1,17,0,.222,.267,.314,福岡ソフトバンクホークス,打撃成績
福岡ソフトバンクホークス||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,福岡ソフトバンクホークス,打撃成績
*,淺間　大基,32,84,72,3,13,1,0,1,17,3,2,0,0,0,12,0,0,14,1,.181,.236,.298,北海道日本ハムファイターズ,打撃成績
*,石井　一成,60,195,184,21,50,11,1,1,66,18,1,0,4,1,6,1,0,44,0,.272,.359,.293,北海道日本ハムファイターズ,打撃成績
*,五十幡　亮汰,73,186,172,29,42,4,6,1,61,16,14,7,2,0,12,0,0,39,1,.244,.355,.293,北海道日本ハムファイターズ,打撃成績
*,伊藤　大海,16,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,上原　健太,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,加藤　貴之,13,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,上川畑　大悟,35,81,72,4,12,3,0,0,15,5,0,0,0,0,7,0,2,9,4,.167,.208,.259,北海道日本ハムファイターズ,打撃成績
*,河野　竜生,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,清宮　幸太郎,86,362,332,39,89,18,0,8,131,39,4,1,0,3,26,0,1,47,5,.268,.395,.320,北海道日本ハムファイターズ,打撃成績
*,齋藤　友貴哉,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,柴田　獅子,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,孫　易磊,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,田宮　裕涼,40,141,127,14,31,3,0,4,46,10,1,4,3,2,8,0,1,23,2,.244,.362,.290,北海道日本ハムファイターズ,打撃成績
*,中島　卓也,18,13,6,3,3,0,0,0,3,1,1,0,1,0,6,0,0,2,0,.500,.500,.750,北海道日本ハムファイターズ,打撃成績
*,細川　凌平,9,13,10,0,2,0,0,0,2,1,2,0,2,0,1,0,0,2,0,.200,.200,.273,北海道日本ハムファイターズ,打撃成績
*,細野　晴希,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,堀　瑞輝,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,水野　達稀,55,195,172,21,45,7,5,3,71,25,2,0,2,1,14,0,6,35,2,.262,.413,.337,北海道日本ハムファイターズ,打撃成績
*,宮西　尚生,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,北海道日本ハムファイターズ,打撃成績
*,矢澤　宏太,50,120,110,11,29,4,1,1,38,11,6,1,1,0,7,0,2,29,0,.264,.345,.319,北海道日本ハムファイターズ,打撃成績
*,山﨑　福也,13,7,7,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.143,.143,.143,北海道日本ハムファイターズ,打撃成績
+,若林　晃弘,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.143,.143,.143,北海道日本ハムファイターズ,打撃成績
北海道日本ハムファイターズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,北海道日本ハムファイターズ,打撃成績
*,一條　力真,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,上田　希由翔,21,66,56,6,10,5,0,0,15,5,0,0,1,1,7,0,1,11,0,.179,.268,.277,千葉ロッテマリーンズ,打撃成績
*,小川　龍成,46,100,88,6,21,1,0,0,22,8,6,2,3,0,8,0,1,17,4,.239,.250,.309,千葉ロッテマリーンズ,打撃成績
*,小島　和哉,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,角中　勝也,27,53,42,3,7,0,0,1,10,5,1,0,2,1,8,0,0,9,0,.167,.238,.294,千葉ロッテマリーンズ,打撃成績
*,菊地　吏玖,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,木村　優人,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,サモンズ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,坂本　光士郎,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,佐藤　都志也,26,81,74,3,8,1,0,1,12,6,1,0,1,1,2,1,3,15,0,.108,.162,.163,千葉ロッテマリーンズ,打撃成績
*,澤田　圭佑,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,鈴木　昭汰,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,高野　脩汰,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,髙部　瑛斗,62,189,175,18,42,7,0,0,49,15,6,0,1,3,8,0,2,24,2,.240,.280,.277,千葉ロッテマリーンズ,打撃成績
*,立松　由宇,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,田中　晴也,11,5,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.200,.200,.200,千葉ロッテマリーンズ,打撃成績
*,寺地　隆成,70,269,252,24,68,10,0,5,93,22,0,0,1,1,9,1,6,41,5,.270,.369,.310,千葉ロッテマリーンズ,打撃成績
*,中村　稔弥,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,中森　俊介,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,廣池　康志郎,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,千葉ロッテマリーンズ,打撃成績
*,藤岡　裕大,71,275,238,20,59,14,1,3,84,14,0,0,5,3,29,1,0,50,6,.248,.353,.326,千葉ロッテマリーンズ,打撃成績
*,藤原　恭大,77,319,288,26,79,7,4,3,103,18,10,3,3,0,23,2,5,53,3,.274,.358,.339,千葉ロッテマリーンズ,打撃成績
*,ポランコ,39,154,139,13,28,3,0,5,46,13,0,0,0,1,14,1,0,35,1,.201,.331,.273,千葉ロッテマリーンズ,打撃成績
*,宮崎　竜成,13,43,40,2,9,1,0,0,10,1,0,0,1,0,1,0,1,11,0,.225,.250,.262,千葉ロッテマリーンズ,打撃成績
*,安田　尚憲,53,204,180,16,47,10,0,0,57,15,0,1,0,2,19,2,3,35,1,.261,.317,.338,千葉ロッテマリーンズ,打撃成績
*,和田　康士朗,12,4,2,4,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,.000,.000,.250,千葉ロッテマリーンズ,打撃成績
千葉ロッテマリーンズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,打撃成績
*,内　星龍,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,小郷　裕哉,62,147,134,12,25,6,2,1,38,9,9,0,0,2,11,1,0,40,0,.187,.284,.245,東北楽天ゴールデンイーグルス,打撃成績
*,辛島　航,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,黒川　史陽,28,104,93,11,29,3,1,1,37,10,1,0,1,1,8,0,1,17,1,.312,.398,.369,東北楽天ゴールデンイーグルス,打撃成績
*,古謝　樹,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,小深田　大翔,84,307,260,25,61,5,1,1,71,13,25,5,11,1,34,0,1,53,1,.235,.273,.324,東北楽天ゴールデンイーグルス,打撃成績
*,島内　宏明,5,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,.000,.000,.091,東北楽天ゴールデンイーグルス,打撃成績
*,鈴木　翔天,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,鈴木　大地,60,120,108,9,27,2,1,1,34,11,1,0,0,0,4,0,8,17,2,.250,.315,.325,東北楽天ゴールデンイーグルス,打撃成績
*,ターリー,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,辰己　涼介,73,275,247,20,62,9,2,4,87,21,14,0,0,3,18,0,7,62,8,.251,.352,.316,東北楽天ゴールデンイーグルス,打撃成績
+,田中　和基,16,16,16,5,1,0,0,0,1,1,1,0,0,0,0,0,0,8,0,.063,.063,.063,東北楽天ゴールデンイーグルス,打撃成績
*,田中　貴也,11,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,.000,.000,.333,東北楽天ゴールデンイーグルス,打撃成績
*,中島　大輔,70,239,229,24,62,4,5,2,82,15,13,2,2,0,6,0,2,33,2,.271,.358,.295,東北楽天ゴールデンイーグルス,打撃成績
*,西垣　雅矢,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,則本　昂大,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,早川　隆久,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,藤井　聖,13,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,堀内　謙伍,41,114,103,12,32,3,1,1,40,10,1,0,2,0,9,0,0,27,3,.311,.388,.366,東北楽天ゴールデンイーグルス,打撃成績
*,武藤　敦貴,27,46,37,8,5,0,1,0,7,3,2,0,1,1,7,0,0,10,0,.135,.189,.267,東北楽天ゴールデンイーグルス,打撃成績
*,宗山　塁,77,308,290,15,73,14,3,3,102,22,4,0,0,6,11,2,1,52,5,.252,.352,.276,東北楽天ゴールデンイーグルス,打撃成績
+,ヤフーレ,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,東北楽天ゴールデンイーグルス,打撃成績
*,渡邊　佳明,55,134,119,7,36,4,0,0,40,14,0,0,1,4,10,0,0,13,2,.303,.336,.346,東北楽天ゴールデンイーグルス,打撃成績
東北楽天ゴールデンイーグルス||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,打撃成績
*,阿部　翔太,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,大里　昂生,12,32,24,6,7,0,0,0,7,3,2,0,0,1,7,0,0,3,0,.292,.292,.438,オリックス・バファローズ,打撃成績
*,片山　楽生,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,来田　涼斗,39,107,98,12,25,4,0,2,35,5,4,0,2,1,6,0,0,27,0,.255,.357,.295,オリックス・バファローズ,打撃成績
*,杉澤　龍,14,16,15,0,3,1,0,0,4,2,0,1,1,0,0,0,0,4,0,.200,.267,.200,オリックス・バファローズ,打撃成績
*,曽谷　龍平,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,田嶋　大樹,12,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,茶野　篤政,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,オリックス・バファローズ,打撃成績
*,東松　快征,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,富山　凌雅,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,西川　龍馬,69,293,277,26,87,20,1,4,121,31,4,1,4,1,9,1,2,42,4,.314,.437,.339,オリックス・バファローズ,打撃成績
*,西野　真弘,36,116,108,10,27,2,1,3,40,15,0,0,2,0,6,0,0,8,0,.250,.370,.289,オリックス・バファローズ,打撃成績
*,野口　智哉,33,64,55,10,8,5,1,1,18,3,0,1,0,0,6,0,3,16,0,.145,.327,.266,オリックス・バファローズ,打撃成績
*,福田　周平,19,54,46,1,8,0,0,0,8,2,1,0,4,0,4,0,0,8,1,.174,.174,.240,オリックス・バファローズ,打撃成績
*,宮城　大弥,15,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.250,オリックス・バファローズ,打撃成績
*,麦谷　祐介,41,76,70,13,18,0,1,0,20,5,8,2,0,0,6,0,0,17,0,.257,.286,.316,オリックス・バファローズ,打撃成績
*,宗　佑磨,50,208,187,17,46,8,1,4,68,18,2,3,2,0,16,1,3,26,3,.246,.364,.316,オリックス・バファローズ,打撃成績
*,森　友哉,35,139,120,14,29,7,0,0,36,10,0,0,0,1,17,1,1,23,0,.242,.300,.338,オリックス・バファローズ,打撃成績
*,山岡　泰輔,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,山田　修義,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,山中　稜真,14,47,44,2,6,1,1,1,12,3,0,0,0,0,3,0,0,8,2,.136,.273,.191,オリックス・バファローズ,打撃成績
*,横山　聖哉,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,オリックス・バファローズ,打撃成績
*,渡部　遼人,15,6,5,5,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,.200,.200,.333,オリックス・バファローズ,打撃成績
オリックス・バファローズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,打撃成績
*,甲斐野　央,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,栗山　巧,11,23,23,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,.087,.087,.087,埼玉西武ライオンズ,打撃成績
*,黒木　優太,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,源田　壮亮,67,246,215,16,48,9,2,0,61,13,6,2,8,1,20,0,2,38,3,.223,.284,.294,埼玉西武ライオンズ,打撃成績
*,佐々木　健,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,佐藤　隼輔,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,佐藤　太陽,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.250,埼玉西武ライオンズ,打撃成績
*,菅井　信也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,隅田　知一郎,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,平良　海馬,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,髙松　渡,11,12,10,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,滝澤　夏央,71,241,212,13,52,2,0,0,54,7,11,4,14,0,14,0,1,38,2,.245,.255,.295,埼玉西武ライオンズ,打撃成績
*,武内　夏暉,9,5,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,.000,.000,.250,埼玉西武ライオンズ,打撃成績
*,田村　伊知郎,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
+,仲田　慶介,45,60,53,10,12,0,0,0,12,0,1,3,3,0,2,0,2,9,1,.226,.226,.281,埼玉西武ライオンズ,打撃成績
*,仲三河　優太,5,10,9,0,2,0,1,0,4,5,0,0,0,1,0,0,0,6,0,.222,.444,.200,埼玉西武ライオンズ,打撃成績
*,西川　愛也,89,395,360,40,92,16,1,4,122,18,18,5,2,2,26,1,5,52,2,.256,.339,.313,埼玉西武ライオンズ,打撃成績
*,羽田　慎之介,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,埼玉西武ライオンズ,打撃成績
*,平沢　大河,7,17,17,1,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,.059,.118,.059,埼玉西武ライオンズ,打撃成績
*,平沼　翔太,36,90,84,8,15,1,0,0,16,5,3,0,1,0,3,1,2,17,0,.179,.190,.225,埼玉西武ライオンズ,打撃成績
*,蛭間　拓哉,12,37,34,0,6,0,0,0,6,0,0,0,2,0,1,0,0,8,0,.176,.176,.200,埼玉西武ライオンズ,打撃成績
*,牧野　翔矢,29,67,61,3,13,0,1,0,15,0,1,0,4,0,2,0,0,22,0,.213,.246,.238,埼玉西武ライオンズ,打撃成績
*,松原　聖弥,8,24,22,1,6,1,0,0,7,0,0,0,2,0,0,0,0,6,0,.273,.318,.273,埼玉西武ライオンズ,打撃成績
*,元山　飛優,38,75,69,1,10,6,0,0,16,5,0,0,5,0,1,0,0,12,1,.145,.232,.157,埼玉西武ライオンズ,打撃成績
*,山村　崇嘉,30,97,87,4,19,3,1,1,27,7,0,1,0,1,7,0,2,17,1,.218,.310,.289,埼玉西武ライオンズ,打撃成績
埼玉西武ライオンズ||,公式戦(パ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,打撃成績
